cell_id,telemetry_lag_steps,estimate_noise_fraction,scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,false_reject_frame_matched_pct,matched_false_admit_count,admitted_send_count,matched_false_admit_conditional_pct,matched_false_admit_ci95_low_pct,matched_false_admit_ci95_high_pct,false_reject_count,true_feasible_frame_count,false_reject_conditional_pct,false_reject_ci95_low_pct,false_reject_ci95_high_pct,matched_false_reject_count,matched_true_feasible_frame_count,matched_false_reject_conditional_pct,matched_false_reject_ci95_low_pct,matched_false_reject_ci95_high_pct,mean_bound_m,mean_risk_sigma_m,max_risk_sigma_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_predicted_reward,mean_true_scored_reward,mean_matched_true_scored_reward,mean_matched_true_scored_reward_finite,matched_true_reward_finite_frame_count,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,shield_skip_clairvoyant_split_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,c1_estimate_miss_ci95_low_pct,c1_estimate_miss_ci95_high_pct,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct
lag0__noise0.00,0,0.0,ctrl_busylight_200k,shielded,600,5.5,94.5,3.166666666666667,58.333333333333336,0.0,51.33333333333333,81.5,20.5,0.0,38.666666666666664,39.83333333333333,0,8,0.0,0.0,32.440756488388026,232,387,59.94832041343669,54.99167896161562,64.70940398703985,239,489,48.875255623721884,44.47080399478492,53.29724092044571,10.181694295985265,5.10702591327572e-17,7.105427357601002e-15,1000000.0,6.380334765727282,0.3105334351004656,0.3105334351004656,-10124.356077595017,0.5051343802798074,0.5051343802798074,600,0.025414468451524518,0.006841333143741223,43.666666666666664,41.16666666666667,20,3.3333333333333335,100.0,0,0.0,0.0,16.112515805281937,1590,466,1124,29.30817610062893
lag0__noise0.00,0,0.0,ctrl_obeylight_200k,shielded,600,7.5,92.5,6.0,79.5,0.0,27.500000000000004,52.33333333333333,5.833333333333333,0.0,28.499999999999996,31.833333333333336,0,5,0.0,0.0,43.44824647831748,171,267,64.04494382022472,58.12731116561027,69.56416573256006,191,314,60.82802547770701,55.32916935916702,66.06514472820987,11.202225419829517,8.400687552997018e-17,1.4210854715202004e-14,1000000.0,19.088005275301327,0.4492826368547935,0.4492826368547935,-6916.106891812818,0.5838371236688308,0.5838371236688308,600,0.03452755647205923,0.009731541881424983,31.833333333333336,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag0__noise0.00,0,0.0,oppwin_fast_test,shielded,499,4.408817635270541,95.59118236472945,3.807615230460922,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8655837625270597,5.339750018237226e-18,8.881784197001252e-16,1000000.0,6.954771600148408,0.170918734594514,0.170918734594514,-1653.0939852057422,0.18365630626726406,0.18365630626726406,499,0.019967169296158844,0.0037414627442500363,7.014028056112225,6.613226452905812,21,4.208416833667335,100.0,0,0.0,0.0,15.4639018924847,240,165,75,68.75
lag0__noise0.05,0,0.05,ctrl_busylight_200k,shielded,600,5.5,94.5,3.166666666666667,58.333333333333336,0.0,51.33333333333333,81.5,20.5,0.0,38.666666666666664,39.83333333333333,0,8,0.0,0.0,32.440756488388026,232,387,59.94832041343669,54.99167896161562,64.70940398703985,239,489,48.875255623721884,44.47080399478492,53.29724092044571,10.181694295985265,5.10702591327572e-17,7.105427357601002e-15,1000000.0,6.380334765727282,0.3105702509429205,0.3105702509429205,-10124.356077595017,0.5051343802798074,0.5051343802798074,600,0.025377652609069563,0.006841333143741223,43.666666666666664,41.16666666666667,20,3.3333333333333335,100.0,0,0.0,0.0,16.112515805281937,1590,466,1124,29.30817610062893
lag0__noise0.05,0,0.05,ctrl_obeylight_200k,shielded,600,7.5,92.5,6.0,79.5,0.0,27.500000000000004,52.33333333333333,5.833333333333333,0.0,28.499999999999996,31.833333333333336,0,5,0.0,0.0,43.44824647831748,171,267,64.04494382022472,58.12731116561027,69.56416573256006,191,314,60.82802547770701,55.32916935916702,66.06514472820987,11.202225419829517,8.400687552997018e-17,1.4210854715202004e-14,1000000.0,19.088005275301327,0.44925089658336237,0.44925089658336237,-6916.106891812818,0.5838371236688308,0.5838371236688308,600,0.03455929674349029,0.009731541881424983,31.833333333333336,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag0__noise0.05,0,0.05,oppwin_fast_test,shielded,499,4.408817635270541,95.59118236472945,3.6072144288577155,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8664366933062178,6.674687522796532e-18,8.881784197001252e-16,1000000.0,6.954771600148408,0.17262585766766037,0.17262585766766037,-1653.0921239849185,0.18551752709041303,0.18551752709041303,499,0.0192284484662473,0.004873259278730007,7.014028056112225,6.613226452905812,20,4.008016032064128,100.0,0,0.0,0.0,16.112515805281937,240,165,75,68.75
lag0__noise0.10,0,0.1,ctrl_busylight_200k,shielded,600,5.5,94.5,3.166666666666667,58.333333333333336,0.0,51.16666666666667,81.5,20.666666666666668,0.0,38.666666666666664,39.83333333333333,0,8,0.0,0.0,32.440756488388026,232,386,60.10362694300518,55.142097638504374,64.86603598482988,239,489,48.875255623721884,44.47080399478492,53.29724092044571,10.181806875939872,5.033011044967376e-17,7.105427357601002e-15,1000000.0,6.380334765727282,0.30908369276628617,0.30908369276628617,-10124.357962665037,0.5035744784608631,0.5035744784608631,600,0.02484679356414464,0.006841333143741223,43.666666666666664,41.16666666666667,20,3.3333333333333335,100.0,0,0.0,0.0,16.112515805281937,1590,466,1124,29.30817610062893
lag0__noise0.10,0,0.1,ctrl_obeylight_200k,shielded,600,7.5,92.5,6.0,79.5,0.0,27.500000000000004,52.166666666666664,5.833333333333333,0.0,28.499999999999996,31.666666666666664,0,5,0.0,0.0,43.44824647831748,171,267,64.04494382022472,58.12731116561027,69.56416573256006,190,313,60.70287539936102,55.19365356379951,65.95256898213202,11.202232612555823,8.25265781638033e-17,1.4210854715202004e-14,1000000.0,19.088005275301327,0.44884979673067504,0.44884979673067504,-6916.107100920566,0.5836054594221143,0.5836054594221143,600,0.034498390474691006,0.009731541881424983,31.833333333333336,28.333333333333332,39,6.5,100.0,0,0.0,0.0,8.966685370757144,1355,808,547,59.6309963099631
lag0__noise0.10,0,0.1,oppwin_fast_test,shielded,499,4.408817635270541,95.59118236472945,3.6072144288577155,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,2.2044088176352705,2.2044088176352705,0,4,0.0,0.0,48.98908364545973,11,332,3.3132530120481927,1.8599581096682027,5.83458291318118,11,375,2.933333333333333,1.6456737553354555,5.1755065086031085,1.8684120036195255,8.454604195542275e-18,8.881784197001252e-16,1000000.0,6.954771600148408,0.1736381962701239,0.1736381962701239,-1653.0908392047513,0.18680230725781752,0.18680230725781752,499,0.018169790830652167,0.004883784676740223,7.214428857715431,6.613226452905812,19,3.807615230460922,100.0,0,0.0,0.0,16.817922405261626,240,165,75,68.75
lag1__noise0.00,1,0.0,ctrl_busylight_200k,shielded,600,5.166666666666667,94.83333333333334,3.166666666666667,58.333333333333336,0.0,51.33333333333333,81.5,20.5,0.0,38.666666666666664,39.83333333333333,0,6,0.0,2.7755575615628914e-15,39.033428790216526,232,387,59.94832041343669,54.99167896161562,64.70940398703985,239,489,48.875255623721884,44.47080399478492,53.29724092044571,10.181781194018203,5.10702591327572e-17,7.105427357601002e-15,1000000.0,6.380334765727282,0.31034963240241276,0.31034963240241276,-10207.691982631746,0.5054262864900257,0.5054262864900257,600,0.025597501845816915,0.006841333143741223,43.666666666666664,41.5,20,3.3333333333333335,100.0,0,0.0,0.0,16.112515805281937,1590,466,1124,29.30817610062893
