event,strategy,install_status,captured_at_s,received_at_s,payload_bytes,onwire_bytes,warning_count,hazard_warning_count,first_warning_at_s,map_aoi_at_warning_s,warning_json
strategy_evaluation,ego_only,accepted,2.0,2.0,542,578,1,1,2.0,0.0,"{""canonical_track_id"": ""map_track_00001"", ""class_name"": ""pedestrian"", ""closest_approach_m"": 0.5, ""evidence_scope"": ""ego_only"", ""evidence_sources"": [""ego_ue""], ""evidence_track_ids"": [""source_local_hazard_track""], ""latest_capture_at_s"": 2.0, ""latest_publish_at_s"": 2.0, ""map_aoi_s"": 0.0, ""object_x_m"": 20.0, ""object_y_m"": 0.5, ""recipient_ue_id"": ""ego_ue"", ""time_to_closest_approach_s"": 2.0, ""warning_at_s"": 2.0}"
strategy_evaluation,send_everything,accepted,0.1,0.1,754,790,1,1,0.1,0.0,"{""canonical_track_id"": ""map_track_00001"", ""class_name"": ""pedestrian"", ""closest_approach_m"": 0.5, ""evidence_scope"": ""helper_only"", ""evidence_sources"": [""helper_ue""], ""evidence_track_ids"": [""source_local_hazard_track""], ""latest_capture_at_s"": 0.1, ""latest_publish_at_s"": 0.1, ""map_aoi_s"": 0.0, ""object_x_m"": 20.0, ""object_y_m"": 0.5, ""recipient_ue_id"": ""ego_ue"", ""time_to_closest_approach_s"": 3.9, ""warning_at_s"": 0.1}"
strategy_evaluation,hazard_only,accepted,0.1,0.1,560,596,1,1,0.1,0.0,"{""canonical_track_id"": ""map_track_00001"", ""class_name"": ""pedestrian"", ""closest_approach_m"": 0.5, ""evidence_scope"": ""helper_only"", ""evidence_sources"": [""helper_ue""], ""evidence_track_ids"": [""source_local_hazard_track""], ""latest_capture_at_s"": 0.1, ""latest_publish_at_s"": 0.1, ""map_aoi_s"": 0.0, ""object_x_m"": 20.0, ""object_y_m"": 0.5, ""recipient_ue_id"": ""ego_ue"", ""time_to_closest_approach_s"": 3.9, ""warning_at_s"": 0.1}"
