1787368099527453594,1582744590998933,connecting to 127.0.0.1:2031
1787368099527467700,1582744591012674,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787368099527493332,1582744591038386,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787368100811006458,1582745874551409,20:08:20.810880,10844,42,18,505,61,1,10247,0,106,28,860
1787368100812030346,1582745875575271,20:08:20.811248,10844,42,19,505,61,1,8197,0,85,28,860
1787368100873600674,1582745937368903,20:08:20.872668,10844,52,8,510,61,0,480,0,5,28,890
1787368100902257872,1582745965803333,20:08:20.901392,10844,56,17,510,48,0,106,0,5,28,890
1787368100905258749,1582745968804452,20:08:20.904039,10844,57,7,510,48,0,106,0,5,28,890
1787368100908340105,1582745971885194,20:08:20.907514,10844,57,17,500,48,0,2178,0,106,28,860
1787368100909473742,1582745973019094,20:08:20.908496,10844,57,18,505,61,0,10247,0,106,28,860
1787368100909568434,1582745973113874,20:08:20.909350,10844,57,19,505,61,0,8197,0,85,28,860
1787368100911544890,1582745975089877,20:08:20.910489,10844,58,7,500,61,0,2178,0,106,28,860
1787368100911552748,1582745975097673,20:08:20.910976,10844,58,8,505,61,1,10247,0,106,28,860
1787368100911573786,1582745975118726,20:08:20.911288,10844,58,9,505,61,1,8197,0,85,28,860
1787368100975812518,1582746039357781,20:08:20.974847,10844,68,8,510,61,0,480,0,5,28,890
1787368101001126801,1582746064671989,20:08:21.000479,10844,72,7,505,48,0,106,0,5,28,860
1787368101004621734,1582746068167142,20:08:21.003454,10844,72,17,510,48,0,106,0,5,28,890
1787368101007434180,1582746070979318,20:08:21.006610,10844,73,7,500,48,0,2178,0,106,28,860
1787368101007442362,1582746070987361,20:08:21.006901,10844,73,8,505,61,0,10247,0,106,28,860
1787368101007445409,1582746070990386,20:08:21.007223,10844,73,9,505,61,0,8197,0,85,28,860
1787368101010794816,1582746074340601,20:08:21.009887,10844,73,17,500,61,0,2178,0,106,28,860
1787368101010839971,1582746074384947,20:08:21.010371,10844,73,18,505,61,0,10247,0,106,28,860
1787368101011909954,1582746075454907,20:08:21.010744,10844,73,19,505,61,1,8197,0,85,28,860
1787368101073101599,1582746136647812,20:08:21.072451,10844,83,8,510,61,0,480,0,5,28,890
1787368101101333612,1582746164878873,20:08:21.100706,10844,87,17,510,48,0,106,0,5,28,860
1787368101104400504,1582746167945667,20:08:21.103740,10844,88,7,510,48,0,106,0,5,28,890
1787368101107853359,1582746171398431,20:08:21.107147,10844,88,17,500,48,0,2178,0,106,28,860
1787368101109366605,1582746172911660,20:08:21.107634,10844,88,18,505,61,0,10247,0,106,28,860
1787368101109371649,1582746172916756,20:08:21.108021,10844,88,19,505,61,0,8197,0,85,28,860
1787368101110861257,1582746174406193,20:08:21.110440,10844,89,7,500,61,0,2178,0,106,28,860
1787368101111934495,1582746175479495,20:08:21.111279,10844,89,8,505,61,1,10247,0,106,28,860
1787368101111937984,1582746175482895,20:08:21.111807,10844,89,9,505,61,1,8197,0,85,28,860
1787368101192944814,1582746256490080,20:08:21.192623,10844,99,8,510,61,0,480,0,5,28,890
1787368101199339057,1582746262884288,20:08:21.198344,10844,100,7,500,48,0,2178,0,106,28,860
1787368101199354694,1582746262899688,20:08:21.198854,10844,100,8,505,48,0,10247,0,106,28,860
1787368101199359997,1582746262904958,20:08:21.199232,10844,100,9,505,61,0,8197,0,85,28,860
1787368101201452312,1582746264997367,20:08:21.201114,10844,100,17,510,61,0,106,0,5,28,890
1787368101262374870,1582746325920092,20:08:21.261585,10844,110,8,510,61,0,480,0,5,28,890
1787368101300215670,1582746363761072,20:08:21.299550,10844,116,7,510,48,0,106,0,5,28,860
1787368101303378909,1582746366924012,20:08:21.302760,10844,116,17,510,48,0,106,0,5,28,860
1787368101306495710,1582746370040868,20:08:21.306213,10844,117,7,500,48,0,2178,0,106,28,860
1787368101307641327,1582746371186476,20:08:21.307453,10844,117,8,505,61,0,10247,0,106,28,860
1787368101308707457,1582746372252717,20:08:21.308282,10844,117,9,505,61,1,8197,0,85,28,860
1787368101310832456,1582746374377478,20:08:21.310148,10844,117,17,500,61,0,2178,0,106,28,860
1787368101311922214,1582746375467353,20:08:21.311259,10844,117,18,505,61,1,10247,0,106,28,860
1787368101311927002,1582746375471980,20:08:21.311711,10844,117,19,505,61,1,8197,0,85,28,860
1787368101312931107,1582746376476202,20:08:21.312804,10844,118,7,510,61,0,301,0,14,28,860
1787368101377062714,1582746440608020,20:08:21.376663,10844,128,8,510,52,0,437,0,5,28,890
1787368101399287901,1582746462833244,20:08:21.398303,10844,131,17,505,48,0,106,0,5,28,860
1787368101401277741,1582746464823038,20:08:21.401005,10844,132,7,505,48,0,106,0,5,28,860
1787368101404526479,1582746468071799,20:08:21.403906,10844,132,17,500,48,0,2178,0,106,28,860
1787368101404536363,1582746468081320,20:08:21.404349,10844,132,18,505,61,0,10247,0,106,28,860
1787368101406981216,1582746470526409,20:08:21.404654,10844,132,19,505,61,0,8197,0,85,28,860
1787368101408930085,1582746472475381,20:08:21.408235,10844,133,7,500,61,0,2178,0,106,28,860
1787368101409799499,1582746473344505,20:08:21.409295,10844,133,8,505,61,1,10247,0,106,28,860
1787368101410908897,1582746474454059,20:08:21.409803,10844,133,9,505,61,1,8197,0,85,28,860
1787368101472983947,1582746536529165,20:08:21.472467,10844,143,8,510,61,0,480,0,5,28,890
1787368101501334966,1582746564880873,20:08:21.500890,10844,147,17,510,48,0,106,0,5,28,890
1787368101504441264,1582746567986302,20:08:21.504133,10844,148,7,510,48,0,106,0,5,28,890
1787368101508668649,1582746572213990,20:08:21.507706,10844,148,17,500,48,0,2178,0,106,28,860
1787368101509701634,1582746573246675,20:08:21.508764,10844,148,18,505,61,0,10247,0,106,28,860
1787368101509715172,1582746573260191,20:08:21.509377,10844,148,19,505,61,0,8197,0,85,28,860
1787368101511867350,1582746575412311,20:08:21.511234,10844,149,7,500,61,0,2178,0,106,28,860
1787368101511870353,1582746575415272,20:08:21.511534,10844,149,8,505,61,1,10247,0,106,28,860
1787368101512983728,1582746576528676,20:08:21.511937,10844,149,9,505,61,1,8197,0,85,28,860
1787368101578183704,1582746641729326,20:08:21.576945,10844,159,8,510,61,0,480,0,5,28,890
1787368101600177844,1582746663723416,20:08:21.599989,10844,162,17,510,48,0,106,0,5,28,890
1787368101603324566,1582746666869756,20:08:21.602657,10844,163,7,510,48,0,106,0,5,28,890
1787368101606523419,1582746670068635,20:08:21.606400,10844,163,17,500,48,0,2178,0,106,28,860
1787368101607550994,1582746671095997,20:08:21.606787,10844,163,18,505,61,0,10247,0,106,28,860
1787368101607589665,1582746671134595,20:08:21.607270,10844,163,19,505,61,0,8197,0,85,28,860
1787368101610889826,1582746674435081,20:08:21.610037,10844,164,7,500,61,0,2178,0,106,28,860
1787368101610897799,1582746674442777,20:08:21.610441,10844,164,8,505,61,1,10247,0,106,28,860
1787368101611947435,1582746675492386,20:08:21.610965,10844,164,9,505,61,1,8197,0,85,28,860
