profile_id,trace_id,trace_sha256,targets,commands_acknowledged,commands_skipped_obsolete,command_ack_ratio,command_ack_latency_ms_p50,command_ack_latency_ms_p95,command_ack_latency_ms_max,accepted_observation_windows,empty_observation_windows,underpopulated_observation_windows,observation_coverage,command_validity_coverage,nominal_schedule_coverage,nominal_accepted_observation_windows,tracking_mae_db,bias_achieved_minus_target_db,tracking_p95_absolute_error_db,observed_rntis,all_gates_passed
FAVORABLE_STABLE,GM_V2_FAVORABLE_STABLE_SEED_2026082101,8cad86e2e1ee98176c75b872132eb68f7d770f889d7330fa4a9932c45c172de6,4200,4182,18,0.9957142857142857,0.21317000000000003,0.45802905,5.124939,4180,1,1,0.9995217599234816,0.9995217599234816,0.6485714285714286,2724,0.30162169396607563,0.22983230827681916,0.6846486240259063,[56470],True
MID_VARIABLE,GM_V2_MID_VARIABLE_SEED_2026082102,0d2ef7ff9e7f342c772d0d88a4cec4e9ce9ac1c9946c1402d3087c55c8f0f811,4200,4186,14,0.9966666666666667,0.0971305,0.28476825,4.572901,4179,3,4,0.9983277591973244,0.9983277591973244,0.7304761904761905,3068,0.27975725025794873,0.1878444187311566,0.663465770773207,[57988],True
ADVERSE_STABLE,GM_V2_ADVERSE_STABLE_SEED_2026082103,380925bb530945b11b8e79ab93e88d5a555de540ce859756d6c5ad08584e98a0,4200,4181,19,0.9954761904761905,0.096725,0.294379,3.855653,4151,12,18,0.9928246830901698,0.9928246830901698,0.6390476190476191,2684,0.18953213389974896,0.03713810621661913,0.5263314623149871,[10988],True
FADE_RECOVERY,GM_V2_FADE_RECOVERY_SEED_2026082104,ef2ae2d6448d9c7f3208bc81123d301a1a9f5d9b16be3bac4412c8cecf94e7c0,4200,4179,21,0.995,0.098778,0.31506439999999997,5.577429,4175,0,4,0.9990428332136875,0.9990428332136875,0.643095238095238,2701,0.2757427110103132,0.20829249343802073,0.6594146922487979,[21067],True
