wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787372441.726044,0.000068,0,0,12500,12500,0.100000,0.000000,0.001
1787372441.826165,0.100188,1,0,12500,12500,0.100000,0.100000,0.112
1787372441.926156,0.200179,2,0,12500,12500,0.100000,0.200000,0.112
1787372442.026165,0.300188,3,0,12500,12500,0.100000,0.300000,0.111
1787372442.126158,0.400181,4,0,12500,12500,0.100000,0.400000,0.113
1787372442.226165,0.500187,5,0,12500,12500,0.100000,0.500000,0.115
1787372442.326220,0.600243,6,0,12500,12500,0.100000,0.600000,0.176
1787372442.426155,0.700178,7,0,12500,12500,0.100000,0.700000,0.112
1787372442.526168,0.800191,8,0,12500,12500,0.100000,0.800000,0.112
1787372442.626161,0.900184,9,0,12500,12500,0.100000,0.900000,0.136
1787372442.726207,1.000229,10,0,12500,12500,0.100000,1.000000,0.180
1787372442.826137,1.100160,11,0,12500,12500,0.100000,1.100000,0.112
1787372442.926238,1.200261,12,0,12500,12500,0.100000,1.200000,0.129
1787372443.026157,1.300180,13,0,12500,12500,0.100000,1.300000,0.127
1787372443.126142,1.400165,14,0,12500,12500,0.100000,1.400000,0.112
1787372443.226180,1.500202,15,0,12500,12500,0.100000,1.500000,0.120
1787372443.326203,1.600225,16,0,12500,12500,0.100000,1.600000,0.122
1787372443.426202,1.700225,17,0,12500,12500,0.100000,1.700000,0.128
1787372443.526197,1.800220,18,0,12500,12500,0.100000,1.800000,0.128
1787372443.626198,1.900221,19,0,12500,12500,0.100000,1.900000,0.125
1787372443.726152,2.000175,20,0,12500,12500,0.100000,2.000000,0.121
1787372443.826180,2.100203,21,0,12500,12500,0.100000,2.100000,0.121
1787372443.926163,2.200186,22,0,12500,12500,0.100000,2.200000,0.121
1787372444.026187,2.300209,23,0,12500,12500,0.100000,2.300000,0.124
1787372444.126155,2.400178,24,0,12500,12500,0.100000,2.400000,0.116
1787372444.226337,2.500361,25,0,12500,12500,0.100000,2.500000,0.271
1787372444.326200,2.600223,26,0,12500,12500,0.100000,2.600000,0.121
1787372444.426145,2.700167,27,0,12500,12500,0.100000,2.700000,0.114
1787372444.526196,2.800219,28,0,12500,12500,0.100000,2.800000,0.127
1787372444.626198,2.900221,29,0,12500,12500,0.100000,2.900000,0.126
1787372444.726194,3.000217,30,0,12500,12500,0.100000,3.000000,0.123
1787372444.826143,3.100166,31,0,12500,12500,0.100000,3.100000,0.112
1787372444.926155,3.200177,32,0,12500,12500,0.100000,3.200000,0.117
1787372445.026199,3.300222,33,0,12500,12500,0.100000,3.300000,0.121
1787372445.126168,3.400191,34,0,12500,12500,0.100000,3.400000,0.126
1787372445.226153,3.500175,35,0,12500,12500,0.100000,3.500000,0.117
1787372445.326273,3.600296,36,0,12500,12500,0.100000,3.600000,0.239
1787372445.426145,3.700167,37,0,12500,12500,0.100000,3.700000,0.113
1787372445.526236,3.800259,38,0,12500,12500,0.100000,3.800000,0.118
1787372445.626140,3.900163,39,0,12500,12500,0.100000,3.900000,0.111
1787372445.726144,4.000166,40,0,12500,12500,0.100000,4.000000,0.119
