profile_id,payload_kib,miou,pedestrian_recall,vehicle_recall,metrics_source,metrics_sha256,utility_v5
ae128__uint8__roi0.5,200.6,0.73,0.881,0.9262560777957861,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae128__uint8__roi0.5/metrics/test_fusion_evaluation_metrics.json,254f36304b81084fb47ce8f6e0c184562976f392b2500fbfbfb1f7abafeb4cd2,0.9512602906798496
ae64__uint6__roi0.0,203.1,0.825,0.866,0.9209886547811994,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae64__uint6__roi0.0/metrics/test_fusion_evaluation_metrics.json,be0c5a8c8a81eec93e3caa63871d7b5f6c007a035a728dc4e6efd8aee3e76e56,0.9826586933492543
ae32__uint8__roi0.0,228.6,0.822,0.863,0.9242301458670988,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae32__uint8__roi0.0/metrics/test_fusion_evaluation_metrics.json,5d96dcf9181b06086a12ec7d4e5fc36d3c576721d03de174ecd8c7df9eee8578,0.9809300070246715
noae__uint4__roi0.5,239.4,0.613,0.817,0.8857374392220422,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint4__roi0.5/metrics/test_fusion_evaluation_metrics.json,d1ed9d97ab8bb4e4dec29869152e7c822984b06b8f07ddba72bbd7f5858b4bec,0.8627216036717439
ae128__uint8__roi0.3,251.8,0.759,0.883,0.9230145867098866,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae128__uint8__roi0.3/metrics/test_fusion_evaluation_metrics.json,aa2ae598789b2485efacf0e2371218872c4cd7c2729c40609ffb22c49246c832,0.963371352051407
ae128__uint6__roi0.0,260.9,0.819,0.884,0.9242301458670988,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae128__uint6__roi0.0/metrics/test_fusion_evaluation_metrics.json,a94384619c2664d775115dd244adfa01ff01c4217989b25083619bb5458115de,0.9891501310382003
ae64__uint8__roi0.0,267.7,0.825,0.864,0.9209886547811994,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae64__uint8__roi0.0/metrics/test_fusion_evaluation_metrics.json,b54d5cdd743f3f2c86581e459806957f944ef9978934bc6baa1915f2cf3f1014,0.9817567767765372
noae__uint4__roi0.3,289.0,0.719,0.851,0.8958670988654781,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint4__roi0.3/metrics/test_fusion_evaluation_metrics.json,408ed6695277f96e466393fd397e977dd4378c4fd18fc1dea50fbcf7ee718862,0.9249526912448903
ae128__uint8__roi0.0,341.0,0.819,0.883,0.9230145867098866,experiments/ae_integrated_20260710/sweeps_permodel_zstd/ae128__uint8__roi0.0/metrics/test_fusion_evaluation_metrics.json,6988b7c49d71c4439dade41cc7a9ada40cf6a762f1c55baa841c11f93433527f,0.9883713520514069
noae__uint4__roi0.0,392.0,0.838,0.843,0.8934359805510534,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint4__roi0.0/metrics/test_fusion_evaluation_metrics.json,c5aa02d5147ad37ea5353507f4236b67ea0ac15c2ce56692e54137506b19981e,0.9702727168864859
noae__uint6__roi0.5,452.2,0.774,0.832,0.8865478119935171,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint6__roi0.5/metrics/test_fusion_evaluation_metrics.json,7e4f8b1e8ce50ea1a353aa992fb4dd78bb77eebb4871b62ca71beba71f137eae,0.9367878584340782
noae__uint6__roi0.3,565.6,0.797,0.853,0.8918152350081038,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint6__roi0.3/metrics/test_fusion_evaluation_metrics.json,4d416282cd057493275e7a6ffe04b84301be91ba3f31c9cf297fbd3838c39dd5,0.9572618721494912
noae__uint8__roi0.5,598.1,0.782,0.838,0.8857374392220422,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint8__roi0.5/metrics/test_fusion_evaluation_metrics.json,7aaa5ee7022933449bc81a18121d5b134e88da615f37a1a502abb4d3e760c6bc,0.9426083943519394
noae__uint8__roi0.3,759.7,0.803,0.853,0.893030794165316,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint8__roi0.3/metrics/test_fusion_evaluation_metrics.json,23f1d0dfb2040623c8579cbf8115449e09c8a3c4c5275a0b53057cd389356bdd,0.9600896928499261
noae__uint6__roi0.0,784.8,0.84,0.852,0.8938411669367909,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint6__roi0.0/metrics/test_fusion_evaluation_metrics.json,30c75f4a6d637af2def65bc1354a970f1f142653d12356f33ec2a7ead6abe121,0.9752739483638574
noae__uint8__roi0.0,1050.3,0.84,0.855,0.893030794165316,experiments/ae_integrated_20260710/sweeps_permodel_zstd/noae__uint8__roi0.0/metrics/test_fusion_evaluation_metrics.json,ee448354fd55736005757d7b45fb5e6e83fbf6548d812dd449b1c787fd6f1346,0.9764082760893098
