episode_id,step_index,controller,cross_trajectory_action_agreement,matched_reward_delta_vs_exact
pcarv5_fast_te01,0,lambda_rdo,True,0.0
pcarv5_fast_te01,1,lambda_rdo,True,0.0
pcarv5_fast_te01,2,lambda_rdo,True,0.0
pcarv5_fast_te01,3,lambda_rdo,True,0.0
pcarv5_fast_te01,4,lambda_rdo,True,0.0
pcarv5_fast_te01,5,lambda_rdo,True,0.0
pcarv5_fast_te01,6,lambda_rdo,True,0.0
pcarv5_fast_te01,7,lambda_rdo,True,0.0
pcarv5_fast_te01,8,lambda_rdo,True,0.0
pcarv5_fast_te01,9,lambda_rdo,True,0.0
pcarv5_fast_te01,10,lambda_rdo,True,0.0
pcarv5_fast_te01,11,lambda_rdo,True,0.0
pcarv5_fast_te01,12,lambda_rdo,True,0.0
pcarv5_fast_te01,13,lambda_rdo,True,0.0
pcarv5_fast_te01,14,lambda_rdo,True,0.0
pcarv5_fast_te01,15,lambda_rdo,True,0.0
pcarv5_fast_te01,16,lambda_rdo,True,0.0
pcarv5_fast_te01,17,lambda_rdo,True,0.0
pcarv5_fast_te01,18,lambda_rdo,True,0.0
pcarv5_fast_te01,19,lambda_rdo,True,0.0
pcarv5_fast_te01,20,lambda_rdo,True,0.0
pcarv5_fast_te01,21,lambda_rdo,True,0.0
pcarv5_fast_te01,22,lambda_rdo,True,0.0
pcarv5_fast_te01,23,lambda_rdo,True,0.0
pcarv5_fast_te01,24,lambda_rdo,True,0.0
pcarv5_fast_te01,25,lambda_rdo,True,0.0
pcarv5_fast_te01,26,lambda_rdo,True,0.0
pcarv5_fast_te01,27,lambda_rdo,True,0.0
pcarv5_fast_te01,28,lambda_rdo,True,0.0
pcarv5_fast_te01,29,lambda_rdo,True,0.0
pcarv5_fast_te01,30,lambda_rdo,True,0.0
pcarv5_fast_te01,31,lambda_rdo,True,0.0
pcarv5_fast_te01,32,lambda_rdo,True,0.0
pcarv5_fast_te01,33,lambda_rdo,True,0.0
pcarv5_fast_te01,34,lambda_rdo,True,0.0
pcarv5_fast_te01,35,lambda_rdo,True,0.0
