budget_kib,feasible_profile_count,exact_profile_id,exact_utility_v5,exact_profile_in_retained7,lambda_rdo_profile_id,lambda_rdo_utility_v5,action_agreement,utility_gap_exact_minus_lambda,dual_bound,dual_minimizing_lambda_per_kib,lagrangian_duality_gap
49.4,1,ae32__uint4__roi0.5,0.9057100635399452,True,ae32__uint4__roi0.5,0.9057100635399452,True,0.0,0.9057100635399451,0.005096609438706823,0.0
61.3,2,ae64__uint4__roi0.5,0.9328985698133655,True,ae64__uint4__roi0.5,0.9328985698133655,True,0.0,0.9328985698133654,0.0019549229563441766,0.0
64.1,3,ae32__uint4__roi0.3,0.9344474309982046,True,ae64__uint4__roi0.5,0.9328985698133655,False,0.001548861184839101,0.9374419150607234,0.0016226233026278394,0.0029944840625187874
75.2,4,ae64__uint4__roi0.3,0.9445844326032404,True,ae64__uint4__roi0.5,0.9328985698133655,False,0.011685862789874935,0.9554530337198924,0.0016226233026278394,0.010868601116651999
79.2,5,ae64__uint4__roi0.3,0.9445844326032404,True,ae64__uint4__roi0.5,0.9328985698133655,False,0.011685862789874935,0.9619435269304037,0.0016226233026278394,0.017359094327163316
90.0,6,ae32__uint4__roi0.0,0.9794678585987845,True,ae32__uint4__roi0.0,0.9794678585987845,True,0.0,0.9794678585987844,0.0002870976521895157,0.0
94.2,7,ae32__uint4__roi0.0,0.9794678585987845,True,ae32__uint4__roi0.0,0.9794678585987845,True,0.0,0.9806384879271787,0.00027872126866529975,0.0011706293283941793
96.4,8,ae32__uint4__roi0.0,0.9794678585987845,True,ae32__uint4__roi0.0,0.9794678585987845,True,0.0,0.9812516747182424,0.00027872126866529975,0.0017838161194578817
101.1,9,ae64__uint4__roi0.0,0.9800010992699071,False,ae32__uint4__roi0.0,0.9794678585987845,False,0.0005332406711225923,0.9825616646809693,0.00027872126866529975,0.002560565411062199
117.9,10,ae64__uint4__roi0.0,0.9800010992699071,False,ae32__uint4__roi0.0,0.9794678585987845,False,0.0005332406711225923,0.9872441819945463,0.00027872126866529975,0.007243082724639249
122.7,11,ae64__uint4__roi0.0,0.9800010992699071,False,ae32__uint4__roi0.0,0.9794678585987845,False,0.0005332406711225923,0.9885820440841397,0.00027872126866529975,0.00858094481423266
124.4,12,ae64__uint4__roi0.0,0.9800010992699071,False,ae32__uint4__roi0.0,0.9794678585987845,False,0.0005332406711225923,0.9890558702408707,0.00027872126866529975,0.009054770970963633
129.2,13,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304641,0.00017565082905787288,0.0
148.6,14,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
153.9,15,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
154.6,16,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
163.4,17,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
174.7,18,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
192.8,19,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
195.7,20,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
200.6,21,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
203.1,22,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
228.6,23,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
239.4,24,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
251.8,25,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
260.9,26,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
267.7,27,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
289.0,28,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
341.0,29,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
392.0,30,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
452.2,31,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
565.6,32,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
598.1,33,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
759.7,34,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
784.8,35,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
1050.3,36,ae128__uint4__roi0.0,0.9903937323304642,True,ae128__uint4__roi0.0,0.9903937323304642,True,0.0,0.9903937323304642,0.0,0.0
