time,mono_sec,mono_nsec,ue_id,lcid,pdu_bytes
19:59:24.044197,891009,107742494,0,4,94
19:59:24.054158,891009,117703604,0,4,464
19:59:24.054538,891009,118082905,0,4,959
19:59:24.054539,891009,118084174,0,4,1208
19:59:24.055143,891009,118688634,0,4,304
19:59:24.055144,891009,118689640,0,4,1507
19:59:24.055145,891009,118690427,0,4,356
19:59:24.059646,891009,123190927,0,4,464
19:59:24.059791,891009,123336050,0,4,697
19:59:24.059792,891009,123337195,0,4,1473
19:59:24.060278,891009,123822960,0,4,39
19:59:24.060278,891009,123823758,0,4,1507
19:59:24.060279,891009,123824357,0,4,621
19:59:24.064423,891009,127968629,0,4,464
19:59:24.064916,891009,128460947,0,4,432
19:59:24.064916,891009,128461727,0,4,1507
19:59:24.064917,891009,128462459,0,4,226
19:59:24.065409,891009,128954462,0,4,1286
19:59:24.065410,891009,128955122,0,4,884
19:59:24.069580,891009,133125422,0,4,464
19:59:24.070072,891009,133616901,0,4,169
19:59:24.070072,891009,133617560,0,4,1507
19:59:24.070073,891009,133618082,0,4,491
19:59:24.070752,891009,134297742,0,4,1021
19:59:24.070753,891009,134298377,0,4,860
19:59:24.075079,891009,138624025,0,4,464
19:59:24.075586,891009,139131736,0,4,193
19:59:24.075587,891009,139132470,0,4,1507
19:59:24.075588,891009,139133134,0,4,464
19:59:24.076096,891009,139641568,0,4,1048
19:59:24.076097,891009,139642255,0,4,1122
19:59:24.080224,891009,143769705,0,4,390
19:59:24.080225,891009,143770325,0,4,72
19:59:24.080702,891009,144247720,0,4,1440
19:59:24.080703,891009,144248451,0,4,730
19:59:24.081198,891009,144743749,0,4,782
19:59:24.081199,891009,144744333,0,4,1388
19:59:24.085530,891009,149075026,0,4,124
19:59:24.085531,891009,149076521,0,4,337
19:59:24.085866,891009,149411522,0,4,1175
19:59:24.085867,891009,149412187,0,4,992
19:59:24.086666,891009,150211181,0,4,520
19:59:24.086667,891009,150211845,0,4,1507
19:59:24.086667,891009,150212556,0,4,141
19:59:24.090999,891009,154544457,0,4,464
19:59:24.091286,891009,154831590,0,4,912
19:59:24.091287,891009,154832255,0,4,1258
19:59:24.091904,891009,155449352,0,4,254
19:59:24.091905,891009,155449979,0,4,1507
19:59:24.091905,891009,155450641,0,4,118
19:59:24.095959,891009,159504021,0,4,464
19:59:24.096448,891009,159993082,0,4,935
19:59:24.096448,891009,159993779,0,4,1007
19:59:24.096979,891009,160524309,0,4,505
19:59:24.096980,891009,160525175,0,4,1440
19:59:24.101123,891009,164668682,0,4,72
19:59:24.101124,891009,164669388,0,4,389
19:59:24.101633,891009,165178826,0,4,1123
19:59:24.101634,891009,165179450,0,4,1047
19:59:24.102477,891009,166022585,0,4,465
19:59:24.102478,891009,166023467,0,4,1507
19:59:24.102479,891009,166024108,0,4,196
19:59:24.106379,891009,169923853,0,4,464
19:59:24.106871,891009,170416620,0,4,857
19:59:24.106872,891009,170417421,0,4,1310
19:59:24.107562,891009,171107824,0,4,202
19:59:24.107563,891009,171108336,0,4,1507
19:59:24.107563,891009,171108696,0,4,458
19:59:24.112008,891009,175553202,0,4,464
19:59:24.112510,891009,176055247,0,4,595
19:59:24.112511,891009,176055932,0,4,1507
19:59:24.112511,891009,176056382,0,4,66
19:59:24.112998,891009,176543500,0,4,1446
19:59:24.112999,891009,176544382,0,4,435
19:59:24.117199,891009,180743945,0,4,464
19:59:24.117322,891009,180867578,0,4,618
19:59:24.117323,891009,180868191,0,4,1507
19:59:24.117323,891009,180868715,0,4,40
19:59:24.118003,891009,181548403,0,4,1472
19:59:24.118005,891009,181550039,0,4,698
19:59:24.122116,891009,185661197,0,4,142
19:59:24.122117,891009,185662068,0,4,319
19:59:24.122654,891009,186199771,0,4,1193
19:59:24.122655,891009,186200337,0,4,977
19:59:24.123166,891009,186711374,0,4,535
19:59:24.123167,891009,186712032,0,4,1507
19:59:24.123167,891009,186712354,0,4,126
19:59:24.127425,891009,190970593,0,4,464
19:59:24.127916,891009,191461609,0,4,927
19:59:24.127917,891009,191462344,0,4,1240
19:59:24.128407,891009,191952612,0,4,272
19:59:24.128408,891009,191953195,0,4,1507
19:59:24.128408,891009,191953743,0,4,388
19:59:24.132627,891009,196172316,0,4,464
19:59:24.133094,891009,196639050,0,4,665
19:59:24.133095,891009,196639941,0,4,1505
19:59:24.133588,891009,197133753,0,4,7
19:59:24.133589,891009,197134302,0,4,1507
19:59:24.133589,891009,197134799,0,4,364
19:59:24.137977,891009,201522500,0,4,464
19:59:24.138481,891009,202025988,0,4,689
19:59:24.138481,891009,202026778,0,4,1478
19:59:24.139306,891009,202850926,0,4,34
19:59:24.139306,891009,202851647,0,4,1507
19:59:24.139307,891009,202852345,0,4,626
19:59:24.143627,891009,207171928,0,4,464
19:59:24.143782,891009,207327152,0,4,427
19:59:24.143782,891009,207327697,0,4,1507
19:59:24.143783,891009,207328046,0,4,234
19:59:24.144364,891009,207909550,0,4,1278
19:59:24.144365,891009,207910368,0,4,892
19:59:24.148770,891009,212315507,0,4,464
19:59:24.148925,891009,212470152,0,4,161
19:59:24.148925,891009,212470757,0,4,1507
19:59:24.148926,891009,212471242,0,4,367
19:59:24.149548,891009,213093681,0,4,1145
19:59:24.149549,891009,213094529,0,4,1025
19:59:24.153586,891009,217131436,0,4,464
19:59:24.154172,891009,217717214,0,4,28
19:59:24.154173,891009,217717928,0,4,1507
19:59:24.154173,891009,217718326,0,4,632
19:59:24.154665,891009,218210450,0,4,880
19:59:24.154666,891009,218211395,0,4,1001
19:59:24.159080,891009,222625750,0,4,464
19:59:24.159590,891009,223135242,0,4,52
19:59:24.159591,891009,223135949,0,4,1507
19:59:24.159591,891009,223136412,0,4,605
19:59:24.160089,891009,223634010,0,4,907
19:59:24.160090,891009,223634886,0,4,1263
19:59:24.164689,891009,228234322,0,4,249
19:59:24.164691,891009,228235867,0,4,213
19:59:24.164836,891009,228381418,0,4,1299
19:59:24.164837,891009,228382016,0,4,871
19:59:24.165692,891009,229237119,0,4,641
19:59:24.165693,891009,229238339,0,4,1507
19:59:24.165694,891009,229239614,0,4,20
19:59:24.169674,891009,233219705,0,4,464
19:59:24.169868,891009,233413525,0,4,1033
19:59:24.169869,891009,233414348,0,4,1134
19:59:24.170767,891009,234312722,0,4,378
19:59:24.170768,891009,234313411,0,4,1507
19:59:24.170769,891009,234314109,0,4,282
19:59:24.175050,891009,238595175,0,4,464
19:59:24.175416,891009,238961279,0,4,771
19:59:24.175417,891009,238961920,0,4,1399
19:59:24.176010,891009,239555654,0,4,113
19:59:24.176011,891009,239556262,0,4,1507
19:59:24.176012,891009,239556979,0,4,258
19:59:24.180466,891009,244011368,0,4,464
19:59:24.180482,891009,244027684,0,4,795
19:59:24.180483,891009,244028351,0,4,1147
19:59:24.181242,891009,244787000,0,4,365
19:59:24.181243,891009,244788147,0,4,1507
19:59:24.181244,891009,244789405,0,4,71
19:59:24.185095,891009,248640811,0,4,464
19:59:24.185570,891009,249115154,0,4,982
19:59:24.185572,891009,249116775,0,4,1188
19:59:24.186108,891009,249653396,0,4,324
19:59:24.186109,891009,249654348,0,4,1507
19:59:24.186110,891009,249655107,0,4,336
19:59:24.190877,891009,254422597,0,4,464
19:59:24.191032,891009,254576846,0,4,45
