plot_label,short_label,run_id,run_group,target_fps,sent,processed,delivery_pct,actual_fps,payload_p50_kib,payload_p95_kib,chunks_p50,udp_partial_drops,edge_queue_drops,sensor_p50_ms,sensor_p95_ms,front_model_p50_ms,front_model_p95_ms,send_call_p50_ms,send_call_p95_ms,uplink_transport_p50_ms,uplink_transport_p95_ms,tail_p50_ms,tail_p95_ms,capture_tail_p50_ms,capture_tail_p95_ms,backbone_tail_p50_ms,backbone_tail_p95_ms,scheduled_mbps,avg_mcs,p50_mcs,p95_mcs,p50_prb,retx_rate,bsr_p50_kib,bsr_p95_kib,sdu_mbps,rlc_mean_queue_ms
"1 MB no-AE
u8 ROI0
10 FPS target",1MB u8,baseline_u8_roi0_1MB_10fps,track1_track1_oai_default106_ttracer_fps10_track1_default106_20260729_204536,10,1299,1239,95.3810623556582,7.076361805864499,1048.8984375,1072.05693359375,18.0,59.0,0.0,36.52930702082813,95.75449321710039,24.09712297958322,52.09280361596016,6.386876018950716,14.994470312376503,65.61226400663145,99.1336949024116,10.58272400405258,19.888601393904526,154.75959499599412,247.1808052127016,93.93793900380842,142.24467510648532,42.199195,15.281258,16.0,21.0,106.0,0.0,577.095703125,1034.476513671875,38.45404,34.0
"394 KB no-AE
u4 ROI0
10 FPS target",394KB u4,noae_u4_roi0_394KB_10fps,track1_track1_oai_default106_ttracer_noae_u4_roi0_fps10_20260730_track1_noae_u4_roi0,10,1299,1299,100.0,7.365258571416719,393.9658203125,409.82119140625,7.0,0.0,0.0,34.547896008007235,85.8968458021991,25.84518599906005,54.899906588252634,3.6684390215668823,9.615506307454778,58.92324401065707,89.04643819842022,10.443617997225374,20.28152210405094,146.44294200115837,224.0270403912291,87.08163298433647,129.31823590188282,16.435726,6.325367,7.0,11.0,106.0,0.0,237.57421875,392.48251953125,14.997267,34.4
"157 KB AE-128
u6 ROI0.5
10 FPS target",157KB AE,ae128_u6_roi05_157KB_10fps,track1_track1_oai_default106_ttracer_ae128_u6_roi05_integrated_fps10_20260730_track1_ae128_u6_roi05_integrated,10,1299,1296,99.7690531177829,7.272082346164771,156.9697265625,168.17109375,3.0,0.0,3.0,35.82047800591681,83.6960309970891,27.06430049147457,60.272621747571975,1.0157024953514338,2.883913002733607,51.723894488532096,58.19037798937643,10.462063495651819,20.489833761530463,135.16791599977296,192.99605599371716,73.22688199928962,102.71677223499864,6.610584,2.545746,3.0,5.0,106.0,0.0,95.15673828125,156.537109375,5.899435,28.7
"157 KB AE-128
u6 ROI0.5
20 FPS probe",157KB AE 20FPS,ae128_u6_roi05_157KB_20fps_probe,track1_track1_oai_default106_ttracer_ae128_u6_roi05_integrated_fps20probe_fps20_20260730_track1_ae128_u6_roi05_fps20probe,20,1299,1286,98.99923017705927,9.116533183446252,156.900390625,162.45107421875,3.0,0.0,13.0,21.863067493541166,43.899049996980466,20.607170998118818,32.83628974895691,1.0039725166279823,2.071588489343412,45.96650799794588,57.296201986900996,17.40177952160593,33.218239739653654,113.03417499584612,154.3610194930807,74.39342800353188,103.30996824632165,7.63627,3.121158,3.0,6.0,106.0,0.0,92.060546875,155.1681640625,6.857373,25.1
