label,class_aware_mode,object_rows,current_supported_rows,current_supported_rate,class_aware_supported_rows,class_aware_supported_rate,support_gain_rows,support_loss_rows,current_support_mean,class_aware_support_mean,current_support_median,class_aware_support_median
person,person_radius,3812,710,0.1862539349422875,710,0.1862539349422875,0,0,0.5044596012591815,0.5044596012591815,0.0,0.0
vehicle,bbox,2240,1515,0.6763392857142857,1514,0.6758928571428572,0,1,16.301339285714285,16.307142857142857,4.0,4.0
