time,eNB_ID,rnti,rb_id,length
20:54:59.820636,0,61809,1,1504
20:54:59.821011,0,61809,1,1504
20:54:59.821014,0,61809,1,1504
20:54:59.826216,0,61809,1,1504
20:54:59.826742,0,61809,1,1504
20:54:59.826743,0,61809,1,1504
20:54:59.831937,0,61809,1,1504
20:54:59.831938,0,61809,1,1504
20:54:59.832759,0,61809,1,1504
20:54:59.838248,0,61809,1,1504
20:54:59.838251,0,61809,1,1504
20:54:59.838803,0,61809,1,1504
20:54:59.843667,0,61809,1,1504
20:54:59.843669,0,61809,1,1504
20:54:59.844029,0,61809,1,1504
20:54:59.849099,0,61809,1,1504
20:54:59.849100,0,61809,1,1504
20:54:59.849623,0,61809,1,1504
20:54:59.854761,0,61809,1,1504
20:54:59.854765,0,61809,1,1504
20:54:59.855195,0,61809,1,1504
20:54:59.859542,0,61809,1,1504
20:54:59.860153,0,61809,1,1504
20:54:59.860796,0,61809,1,1504
20:54:59.865244,0,61809,1,1504
20:54:59.866058,0,61809,1,1504
20:54:59.866432,0,61809,1,1504
20:54:59.870908,0,61809,1,1504
20:54:59.871548,0,61809,1,1504
20:54:59.872029,0,61809,1,1504
20:54:59.872030,0,61809,1,1504
20:54:59.877448,0,61809,1,1504
20:54:59.878214,0,61809,1,1504
20:54:59.878216,0,61809,1,1504
20:54:59.883101,0,61809,1,1504
20:54:59.883104,0,61809,1,1504
20:54:59.883665,0,61809,1,1504
20:54:59.888936,0,61809,1,1504
20:54:59.888940,0,61809,1,1504
20:54:59.889287,0,61809,1,1504
20:54:59.893724,0,61809,1,832
20:54:59.894449,0,61809,1,1504
20:54:59.894857,0,61809,1,1504
20:54:59.894858,0,61809,1,1504
20:54:59.900297,0,61809,1,1504
20:54:59.900696,0,61809,1,1504
20:54:59.900697,0,61809,1,1504
20:54:59.905899,0,61809,1,1504
20:54:59.906424,0,61809,1,1504
20:54:59.906425,0,61809,1,1504
20:54:59.911716,0,61809,1,1504
20:54:59.912360,0,61809,1,1504
20:54:59.912364,0,61809,1,1504
20:54:59.917324,0,61809,1,1504
20:54:59.917325,0,61809,1,1504
20:54:59.917925,0,61809,1,1504
20:54:59.923305,0,61809,1,1504
20:54:59.923308,0,61809,1,1504
20:54:59.923877,0,61809,1,1504
20:54:59.929144,0,61809,1,1504
20:54:59.929148,0,61809,1,1504
20:54:59.930304,0,61809,1,1504
20:54:59.934994,0,61809,1,1504
20:54:59.934998,0,61809,1,1504
20:54:59.935336,0,61809,1,1504
20:54:59.940494,0,61809,1,1504
20:54:59.940496,0,61809,1,1504
20:54:59.940997,0,61809,1,1504
20:54:59.945408,0,61809,1,1504
20:54:59.946164,0,61809,1,1504
20:54:59.946711,0,61809,1,1504
20:54:59.951162,0,61809,1,1504
20:54:59.951760,0,61809,1,1504
20:54:59.952465,0,61809,1,1504
20:54:59.957120,0,61809,1,1504
20:54:59.958138,0,61809,1,1504
20:54:59.958465,0,61809,1,1504
20:54:59.958467,0,61809,1,1504
20:54:59.963251,0,61809,1,1504
20:54:59.963796,0,61809,1,1504
20:54:59.963797,0,61809,1,1504
20:54:59.969446,0,61809,1,832
20:54:59.969449,0,61809,1,1504
20:54:59.969884,0,61809,1,1504
20:54:59.973991,0,61809,1,1504
20:54:59.975020,0,61809,1,1504
20:54:59.975453,0,61809,1,1504
