time,mono_sec,mono_nsec,ue_id,rb_id,sdu_bytes
20:54:59.820704,894344,884249425,1,1,1501
20:54:59.821019,894344,884564286,1,1,1501
20:54:59.821038,894344,884583481,1,1,1501
20:54:59.826219,894344,889764438,1,1,1501
20:54:59.826745,894344,890290518,1,1,1501
20:54:59.826750,894344,890295106,1,1,1501
20:54:59.831940,894344,895485170,1,1,1501
20:54:59.831945,894344,895489990,1,1,1501
20:54:59.832767,894344,896311949,1,1,1501
20:54:59.838375,894344,901920588,1,1,1501
20:54:59.838398,894344,901943757,1,1,1501
20:54:59.838812,894344,902357258,1,1,1501
20:54:59.843674,894344,907219509,1,1,1501
20:54:59.843682,894344,907226853,1,1,1501
20:54:59.844033,894344,907578141,1,1,1501
20:54:59.849102,894344,912647307,1,1,1501
20:54:59.849107,894344,912652150,1,1,1501
20:54:59.849626,894344,913171362,1,1,1501
20:54:59.854769,894344,918314776,1,1,1501
20:54:59.854790,894344,918335181,1,1,1501
20:54:59.855198,894344,918743601,1,1,1501
20:54:59.859548,894344,923093663,1,1,1501
20:54:59.860180,894344,923724816,1,1,1501
20:54:59.860798,894344,924343668,1,1,1501
20:54:59.865251,894344,928796187,1,1,1501
20:54:59.866064,894344,929609211,1,1,1501
20:54:59.866435,894344,929980237,1,1,1501
20:54:59.870914,894344,934459189,1,1,1501
20:54:59.871550,894344,935095802,1,1,1501
20:54:59.872032,894344,935577489,1,1,1501
20:54:59.872037,894344,935582573,1,1,1501
20:54:59.877454,894344,940998873,1,1,1501
20:54:59.878220,894344,941765437,1,1,1501
20:54:59.878237,894344,941782448,1,1,1501
20:54:59.883108,894344,946653758,1,1,1501
20:54:59.883127,894344,946672501,1,1,1501
20:54:59.883669,894344,947213981,1,1,1501
20:54:59.888945,894344,952490452,1,1,1501
20:54:59.889042,894344,952587472,1,1,1501
20:54:59.889290,894344,952835358,1,1,1501
20:54:59.893728,894344,957272833,1,1,829
20:54:59.894451,894344,957996165,1,1,1501
20:54:59.894860,894344,958405527,1,1,1501
20:54:59.894864,894344,958409690,1,1,1501
20:54:59.900304,894344,963849184,1,1,1501
20:54:59.900699,894344,964244782,1,1,1501
20:54:59.900704,894344,964249770,1,1,1501
20:54:59.905902,894344,969447209,1,1,1501
20:54:59.906427,894344,969972528,1,1,1501
20:54:59.906431,894344,969976328,1,1,1501
20:54:59.911721,894344,975266363,1,1,1501
20:54:59.912366,894344,975911686,1,1,1501
20:54:59.912371,894344,975916326,1,1,1501
20:54:59.917327,894344,980871955,1,1,1501
20:54:59.917331,894344,980875930,1,1,1501
20:54:59.917929,894344,981474425,1,1,1501
20:54:59.923312,894344,986857005,1,1,1501
20:54:59.923334,894344,986879073,1,1,1501
20:54:59.923884,894344,987428939,1,1,1501
20:54:59.929152,894344,992697149,1,1,1501
20:54:59.929171,894344,992716795,1,1,1501
20:54:59.930310,894344,993855508,1,1,1501
20:54:59.935119,894344,998664503,1,1,1501
20:54:59.935143,894344,998688283,1,1,1501
20:54:59.935340,894344,998885251,1,1,1501
20:54:59.940499,894345,4044297,1,1,1501
20:54:59.940518,894345,4062942,1,1,1501
