route_point,x,y,z
0,-88.6761,24.4376,0.0
1,-78.0661,24.4671,0.0
2,-66.8261,24.4983,0.0
3,-58.4672,24.005,0.0
4,-50.6071,20.2979,0.0
5,-44.9906,13.7437,0.0
6,-41.8113,-1.7042,0.0
7,-45.34,-17.1868,0.0
8,-45.2193,-33.1863,0.0
9,-45.1428,-43.3276,0.0
10,-45.4119,-51.6557,0.0
11,-49.3001,-59.5763,0.0
12,-56.7175,-64.3968,0.0
13,-67.0817,-65.1934,0.0
14,-75.3022,-64.9593,0.0
15,-83.4519,-62.9906,0.0
16,-90.9379,-59.2153,0.0
17,-97.3658,-53.8325,0.0
18,-102.4597,-47.2558,0.0
19,-106.3102,-39.9096,0.0
20,-108.8301,-32.0075,0.0
21,-109.9432,-23.7884,0.0
22,-110.0651,-15.726,0.0
23,-110.2157,-2.2869,0.0
24,-110.3949,13.723,0.0
25,-107.4111,22.234,0.0
26,-100.0018,27.167,0.0
27,-89.8858,27.9343,0.6
28,-78.0661,24.4671,0.0
29,-66.8261,24.4983,0.0
30,-58.4672,24.005,0.0
31,-50.6071,20.2979,0.0
32,-44.9906,13.7437,0.0
33,-41.8113,-1.7042,0.0
34,-45.34,-17.1868,0.0
35,-45.2193,-33.1863,0.0
36,-45.1428,-43.3276,0.0
37,-45.4119,-51.6557,0.0
38,-49.3001,-59.5763,0.0
39,-56.7175,-64.3968,0.0
40,-67.0817,-65.1934,0.0
41,-75.3022,-64.9593,0.0
42,-83.4519,-62.9906,0.0
43,-90.9379,-59.2153,0.0
44,-97.3658,-53.8325,0.0
45,-102.4597,-47.2558,0.0
46,-106.3102,-39.9096,0.0
47,-108.8301,-32.0075,0.0
48,-109.9432,-23.7884,0.0
49,-110.0651,-15.726,0.0
50,-110.2157,-2.2869,0.0
51,-110.3949,13.723,0.0
52,-107.4111,22.234,0.0
53,-100.0018,27.167,0.0
54,-88.6858,27.9376,0.0
55,-79.2758,27.9638,0.6
56,-66.8359,27.9983,0.0
57,-54.0645,32.2625,0.0
58,-52.1867,42.5651,0.0
59,-52.1609,51.7351,0.0
60,-52.1384,59.7351,0.0
61,-52.0739,82.655,0.0
62,-52.0514,90.6549,0.0
63,-52.0289,98.6549,0.0
64,-51.983,114.9748,0.0
65,-57.9208,126.9839,0.0
66,-70.4899,128.9029,0.0
67,-103.0223,101.4335,0.0
68,-106.9088,86.3501,0.0
69,-107.5331,70.6478,0.0
70,-107.3537,54.6488,0.0
71,-107.2332,43.8995,0.0
72,-107.0539,27.9005,0.0
73,-106.9642,19.901,0.0
74,-106.7159,-2.2476,0.0
75,-95.2899,-45.3536,0.0
76,-85.2315,-54.4953,0.0
77,-67.1546,-58.1937,0.0
78,-54.1914,-53.4607,0.0
79,-52.1426,-43.3803,0.0
80,-52.2633,-27.3808,0.0
81,-52.3399,-17.2396,0.0
82,-52.32,-4.7852,0.0
83,-53.1845,5.5434,0.0
84,-66.7942,12.9984,0.0
85,-78.0341,12.9672,0.0
86,-88.6441,12.9377,0.0
87,-101.187,7.36,0.0
88,-103.2161,-2.2084,0.0
89,-103.0368,-18.2074,0.0
90,-101.4415,-32.6657,0.0
91,-95.2899,-45.3536,0.0
92,-85.2315,-54.4953,0.0
93,-67.1546,-58.1937,0.0
94,-54.1914,-53.4607,0.0
95,-52.1426,-43.3803,0.0
96,-48.7634,-27.3543,0.0
97,-48.84,-17.2132,0.0
98,-48.82,-4.7951,0.0
99,-47.8975,6.623,0.0
100,-45.5331,14.497,0.0
101,-40.2076,21.6336,0.0
102,-28.7163,24.6042,0.0
103,11.2738,28.2154,0.0
104,26.4038,28.2574,0.0
105,38.6707,33.9346,0.0
106,40.3896,41.9455,0.0
107,40.5292,52.5946,0.0
108,41.2268,61.038,0.0
109,46.7199,68.2683,0.0
110,58.0478,69.8228,0.0
111,66.0478,69.833,0.0
112,85.9778,69.8585,0.0
113,98.024,74.9151,0.0
114,98.8007,82.8909,0.0
115,98.2753,98.1361,0.0
116,93.9323,111.6662,0.0
117,85.527,122.8519,0.0
118,73.6621,129.4464,0.0
119,59.3187,130.6834,0.0
120,51.3189,130.6386,0.0
121,35.3191,130.5492,0.0
122,19.3894,130.4601,0.0
123,-0.1477,130.2101,0.0
124,-16.1474,130.1118,0.0
125,-28.5172,130.0357,0.0
126,-41.8832,125.2926,0.0
127,-44.983,114.9551,0.0
128,-45.0055,106.9552,0.0
129,-45.028,98.9552,0.0
130,-45.0505,90.9552,0.0
131,-45.0739,82.6353,0.0
132,-45.0965,74.6353,0.0
133,-45.119,66.6353,0.0
134,-45.1497,55.7154,0.6
135,-45.1868,42.5454,0.0
136,-45.2093,34.5455,0.0
137,-45.2543,18.5455,0.0
138,-45.2768,10.5456,0.0
139,-45.3113,-1.6944,0.0
140,-41.8401,-17.1604,0.0
141,-45.2193,-33.1863,0.0
142,-45.1428,-43.3276,0.0
143,-45.4119,-51.6557,0.0
144,-49.3001,-59.5763,0.0
145,-56.7175,-64.3968,0.0
146,-67.0817,-65.1934,0.0
147,-75.3022,-64.9593,0.0
148,-83.4519,-62.9906,0.0
149,-90.9379,-59.2153,0.0
150,-97.3658,-53.8325,0.0
151,-102.4597,-47.2558,0.0
152,-106.3102,-39.9096,0.0
153,-108.8301,-32.0075,0.0
154,-109.9432,-23.7884,0.0
155,-110.0651,-15.726,0.0
156,-110.2157,-2.2869,0.0
157,-109.0745,14.2364,0.0
158,-103.812,21.3349,0.0
159,-88.6761,24.4376,0.0
