time,mono_sec,mono_nsec,ue_id,rb_id,sdu_bytes
21:21:11.197132,895916,260676963,1,1,1504
21:21:11.197157,895916,260702436,1,1,1504
21:21:11.197163,895916,260707949,1,1,1504
21:21:11.197165,895916,260709803,1,1,1504
21:21:11.197167,895916,260711431,1,1,1504
21:21:11.197168,895916,260713161,1,1,1504
21:21:11.197170,895916,260715210,1,1,1504
21:21:11.197173,895916,260717781,1,1,1504
21:21:11.197174,895916,260719498,1,1,1504
21:21:11.197178,895916,260722823,1,1,1504
21:21:11.197179,895916,260724478,1,1,1504
21:21:11.197180,895916,260725651,1,1,1504
21:21:11.197182,895916,260727112,1,1,1504
21:21:11.197184,895916,260728687,1,1,1504
21:21:11.197186,895916,260731570,1,1,1504
21:21:11.197188,895916,260733314,1,1,1504
21:21:11.197190,895916,260735051,1,1,1504
21:21:11.197191,895916,260736314,1,1,1504
21:21:11.197192,895916,260737187,1,1,1504
21:21:11.197193,895916,260738504,1,1,1504
21:21:11.197194,895916,260739562,1,1,1504
21:21:11.197195,895916,260740581,1,1,1504
21:21:11.197197,895916,260741856,1,1,1504
21:21:11.197198,895916,260742797,1,1,1504
21:21:11.197199,895916,260743789,1,1,1504
21:21:11.197200,895916,260744887,1,1,1504
21:21:11.197201,895916,260745923,1,1,1504
21:21:11.197202,895916,260747018,1,1,1504
21:21:11.197203,895916,260748102,1,1,1504
21:21:11.197204,895916,260749240,1,1,1504
21:21:11.197205,895916,260750171,1,1,1504
21:21:11.197206,895916,260751428,1,1,1504
21:21:11.197207,895916,260752457,1,1,1504
21:21:11.197208,895916,260753524,1,1,1504
21:21:11.197209,895916,260754373,1,1,1504
21:21:11.197210,895916,260755701,1,1,1504
21:21:11.197211,895916,260756722,1,1,1504
21:21:11.197213,895916,260757827,1,1,1504
21:21:11.197214,895916,260758824,1,1,1504
21:21:11.197215,895916,260759946,1,1,1504
21:21:11.197216,895916,260760864,1,1,832
21:21:11.197217,895916,260762203,1,1,1504
21:21:11.197218,895916,260763210,1,1,1504
21:21:11.197219,895916,260764198,1,1,1504
21:21:11.197220,895916,260765281,1,1,1504
21:21:11.197221,895916,260766382,1,1,1504
21:21:11.197222,895916,260767423,1,1,1504
21:21:11.197223,895916,260768288,1,1,1504
21:21:11.197224,895916,260769579,1,1,1504
21:21:11.197225,895916,260770681,1,1,1504
21:21:11.197226,895916,260771698,1,1,1504
21:21:11.197228,895916,260772860,1,1,1504
21:21:11.197229,895916,260773869,1,1,1504
21:21:11.197230,895916,260775068,1,1,1504
21:21:11.197231,895916,260776298,1,1,1504
21:21:11.197232,895916,260777343,1,1,1504
21:21:11.197233,895916,260778462,1,1,1504
21:21:11.197234,895916,260779351,1,1,1504
21:21:11.197235,895916,260780420,1,1,1504
21:21:11.197236,895916,260781625,1,1,1504
21:21:11.197238,895916,260782868,1,1,1504
21:21:11.197239,895916,260783968,1,1,1504
21:21:11.197240,895916,260784891,1,1,1128
21:21:11.596472,895916,660017165,0,1,1504
21:21:11.596479,895916,660024062,0,1,1504
21:21:11.596479,895916,660024474,0,1,1504
21:21:11.596480,895916,660024931,0,1,1504
21:21:11.596480,895916,660025355,0,1,1504
21:21:11.596480,895916,660025769,0,1,1504
21:21:11.596481,895916,660026098,0,1,1504
21:21:11.596481,895916,660026625,0,1,1504
21:21:11.596482,895916,660027078,0,1,1504
21:21:11.596482,895916,660027480,0,1,1504
21:21:11.596483,895916,660027928,0,1,1504
21:21:11.596483,895916,660028569,0,1,1504
21:21:11.596484,895916,660029036,0,1,1504
21:21:11.596484,895916,660029496,0,1,1504
21:21:11.596485,895916,660029878,0,1,1504
21:21:11.596485,895916,660030376,0,1,1504
21:21:11.596485,895916,660030747,0,1,1504
21:21:11.596486,895916,660031064,0,1,1504
21:21:11.596486,895916,660031333,0,1,1504
21:21:11.596487,895916,660031863,0,1,1504
21:21:11.596487,895916,660032329,0,1,1504
21:21:11.596487,895916,660032698,0,1,1504
21:21:11.596488,895916,660033000,0,1,1504
21:21:11.596488,895916,660033355,0,1,1504
21:21:11.596488,895916,660033710,0,1,1504
21:21:11.596489,895916,660034065,0,1,1504
21:21:11.596489,895916,660034387,0,1,1504
21:21:11.596489,895916,660034739,0,1,1504
21:21:11.596490,895916,660035228,0,1,1504
21:21:11.596490,895916,660035709,0,1,1504
21:21:11.596491,895916,660036056,0,1,1504
21:21:11.596491,895916,660036548,0,1,1504
21:21:11.596491,895916,660036801,0,1,1504
21:21:11.596492,895916,660037036,0,1,1504
21:21:11.596492,895916,660037355,0,1,1504
21:21:11.596493,895916,660037917,0,1,1504
21:21:11.596493,895916,660038191,0,1,1504
21:21:11.596493,895916,660038524,0,1,1504
21:21:11.596493,895916,660038837,0,1,1504
21:21:11.596494,895916,660039232,0,1,1504
21:21:11.596494,895916,660039633,0,1,832
21:21:11.596495,895916,660039990,0,1,1504
21:21:11.596495,895916,660040226,0,1,1504
21:21:11.596495,895916,660040628,0,1,1504
21:21:11.596496,895916,660040944,0,1,1504
21:21:11.596496,895916,660041435,0,1,1504
21:21:11.596496,895916,660041691,0,1,1504
21:21:11.596497,895916,660041948,0,1,1504
21:21:11.596497,895916,660042422,0,1,1504
21:21:11.596497,895916,660042678,0,1,1504
21:21:11.596498,895916,660043007,0,1,1504
21:21:11.596498,895916,660043462,0,1,1504
21:21:11.596498,895916,660043786,0,1,1504
21:21:11.596499,895916,660044310,0,1,1504
21:21:11.596499,895916,660044750,0,1,1504
21:21:11.596500,895916,660045018,0,1,1504
21:21:11.596500,895916,660045382,0,1,1504
21:21:11.596500,895916,660045718,0,1,1504
21:21:11.596501,895916,660046087,0,1,1504
21:21:11.596501,895916,660046543,0,1,1504
21:21:11.596502,895916,660046876,0,1,1504
21:21:11.596502,895916,660047245,0,1,1504
21:21:11.596502,895916,660047640,0,1,1128
21:21:11.946483,895917,10027461,1,1,1504
21:21:11.946496,895917,10041418,1,1,1504
