sequence_index,repetition_index,commanded_noise_power_db,candidate_direction,expected_achieved_pusch_snr_db,achieved_snr_tolerance_db,achieved_snr_expectation_role,fresh_ran_epoch_required,candidate_baked_before_ue_launch,candidate_application_count,attach_pdu_ext_dn_timeout_s,measured_service_s,expected_service_frames,restore_commanded_noise_power_db,post_restore_recovery_required_for_attached_trial,automatic_next_candidate_authorized,status
0,1,-3.5,STRONGER_RFSIM_CONDITION_THAN_MINUS3P0,7.5,0.5,CONSISTENCY_ONLY_NOT_PROMOTED,True,True,0,180.0,60.0,600,-50.0,True,False,BLOCKED_PENDING_N3C_ADJUDICATION_AND_DISTINCT_LIVE_REVIEW
1,2,-3.5,STRONGER_RFSIM_CONDITION_THAN_MINUS3P0,7.5,0.5,CONSISTENCY_ONLY_NOT_PROMOTED,True,True,0,180.0,60.0,600,-50.0,True,False,BLOCKED_PENDING_N3C_ADJUDICATION_AND_DISTINCT_LIVE_REVIEW
2,3,-3.5,STRONGER_RFSIM_CONDITION_THAN_MINUS3P0,7.5,0.5,CONSISTENCY_ONLY_NOT_PROMOTED,True,True,0,180.0,60.0,600,-50.0,True,False,BLOCKED_PENDING_N3C_ADJUDICATION_AND_DISTINCT_LIVE_REVIEW
