action_index,profile_id,model_family,quantization_mode,quantization_bits,roi_drop_fraction,checkpoint_sha256,action_contract_sha256,registry_binding_status,fixture_status,production_codec_status,in_memory_wire_status,wire_shape_status,map_schema_status,model_front_status,model_edge_status,roi_execution_status,ae_execution_status,tail_execution_status,actual_udp_status,technical_validity_status,blocking_codes,pickle_bytes,zstd_bytes,udp_chunks,payload_bytes_uncompressed,max_quantization_abs_error,compressed_sha256
0,noae__u8__q0__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,9214ebccae52b3e06c1ea27b8d6d826fa71037fa0a212953cfa0b8b2b289ba0b,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1460999,1073643,18,2903040,,ce5f0e176c73492062aac72aad7199137e9f530fd623e7cdcc0c93d11b7d9490
1,noae__u8__q0.3__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.3,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,91a3f279e78945020ede2717d337992fd2c36ff60ed789ea6d97f5b78c3eba4c,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,801540,14,2903040,,fc2f7a7176685eac23cc09f1a5921f0dd0dd29fe078c9939bd5b915ed2812f24
2,noae__u8__q0.5__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.5,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,81cc266f0f3e9b54e99ab0250313b478ada6e29d1787d6828808835ca30973cd,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,652605,11,2903040,,b174ebfdf610f0c9a09530bef0f97314c9776c1535a619e98de192f71de64eb6
3,noae__u8__q0.7__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.7,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,d26fbf387cb921bfd73a85af193e333021131ca4f2a428774acf359caa7091ee,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,436045,8,2903040,,7bff5a21d82cb49ae421e3f7126c633ae855016748ecf50dd22ef2078208eae6
4,noae__u8__q0.9__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.9,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,77db6a6b6173f9cfacbaa2343467588c2f4c0fd455f3c15dbf9f28972da7553b,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461003,217935,4,2903040,,b524af502d0032b47bc7719c27296da14385e71d69268616705b0f5763f9ed37
5,noae__u8__q0.98__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint8,8,0.98,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,48646eb6ddbc61f0b9c96472d116c5a552479018f850d8db3df89907764c7a0a,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1461005,73908,2,2903040,,a754c39ea032c0426b108f9e8b3b0eed8c446975aabc697a6cb4b06498c40841
6,noae__u6__q0__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,d0bf852f00c052d49c0fe2288c241c2be458123d12266005d4fafedcbd7c26ff,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_NO_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098119,807731,14,2903040,,aadc620a1e06cc3636ca97e2101f3227bc3686931f6560a02850caabe6a1bd55
7,noae__u6__q0.3__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.3,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,0a0193aa51d99fcaef282bcd07aa31e455c1ebe496341237910560e4f29b3f37,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,603888,11,2903040,,9dee137d25e4fe1d9ff02d645e58de07fc76ab6c946a49d15021eb9ba50ed6e9
8,noae__u6__q0.5__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.5,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,ea58551b2982989388b46fb3f7953032535133f3d2b1fa0a256bb9458a005072,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,504542,9,2903040,,e2e097d04b6ded8ea989dea421f07f67bf9ef36fae3cdfbd3409ee8d6326caba
9,noae__u6__q0.7__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.7,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,445c716002128c698d8f29eb0486cb539fc1abc94823452d01fd04390be44d82,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,345822,6,2903040,,d6b2f0dea04fe20424474cdd8d23806f0ed02ffd93ae391389cfca064afbc9a5
10,noae__u6__q0.9__zstd3__ckptf319e2a5e8fb,noae,per_channel_uint6,6,0.9,f319e2a5e8fb134e74c24c0822233e17368df6e4c733add658026603e131d4fa,effecc85b0f12a2e01b4af9965540bb8601b9e3546ba995da71302e1321ce9a9,PASS,PASS,PASS_MODEL_FEATURES,PASS,PASS,PASS,PASS_STRICT,PASS_STRICT,PASS_RANK_DROP_VERIFIED,PASS_NO_AE,PASS_FINITE,PASS,TECHNICALLY_VALID,,1098123,184970,4,2903040,,b99a7311e664207af6c1f524b0cc75cc14a06f95ea6c7393449024e82f8021b1
