model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped
ae64,64,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,274676,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,201170,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,158093,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,106650,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,48345,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,15181,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,209156,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,153817,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,121668,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,83371,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae64,64,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,39632,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
