model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped
ae128,128,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,349292,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,252888,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,197750,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,134174,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,67511,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,25948,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,267768,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,193486,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,152811,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,104517,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,53490,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,21884,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,134711,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,97247,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
ae128,128,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000002_frame82048,82048,0,0,0,78880,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
