model,ae_bottleneck,quant,roi,sample_id,frame_id,n_inview,n_inview_veh,n_inview_ped,payload_bytes,n_pred,tp,fp,fn,tp_veh,fp_veh,fn_veh,tp_ped,fp_ped,fn_ped,loc_err_sum,loc_err_sq_sum,loc_err_sum_veh,loc_err_sum_ped
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,806161,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,595007,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,482151,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,342461,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,169577,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,71439,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,402161,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,306533,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,258825,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,198533,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,105544,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000005_frame82054,82054,0,0,0,49893,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,1074251,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,791926,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,627028,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,429961,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,205229,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,69945,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,802949,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,592070,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,474539,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,337737,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,173328,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,67015,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,400536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,304236,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,252287,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,193281,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,107227,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000010_frame82064,82064,0,0,0,47014,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,1074406,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,787474,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,626667,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,430787,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,192871,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.98,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,68903,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.0,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,802757,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.3,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,589222,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.5,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,475477,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.7,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,340191,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.9,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,164734,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint6,0.98,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,62606,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.0,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,399534,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.3,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,301903,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.5,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,255009,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.7,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,197522,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.9,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,104776,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint4,0.98,moving_ego_pps200000_low_8loops_stride2_000016_frame82076,82076,0,0,0,44821,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
noae,0,per_channel_uint8,0.0,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,1065951,1,1,0,0,1,0,0,0,0,0,0.36835838622852735,0.13568790070488493,0.36835838622852735,0.0
noae,0,per_channel_uint8,0.3,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,767167,1,1,0,0,1,0,0,0,0,0,0.36742624232613913,0.13500204354990672,0.36742624232613913,0.0
noae,0,per_channel_uint8,0.5,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,600967,1,1,0,0,1,0,0,0,0,0,0.3584465769858675,0.12848394855288545,0.3584465769858675,0.0
noae,0,per_channel_uint8,0.7,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,411437,1,1,0,0,1,0,0,0,0,0,0.3567174979265124,0.12724737332695138,0.3567174979265124,0.0
noae,0,per_channel_uint8,0.9,moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,1,1,0,192076,1,1,0,0,1,0,0,0,0,0,0.16281627933889134,0.026509140817759895,0.16281627933889134,0.0
