run_group,iface,iface_label,samples,duration_s,avg_tx_mbps,p95_tx_mbps,max_tx_mbps,avg_rx_mbps,p95_rx_mbps,max_rx_mbps,tx_bytes_delta,rx_bytes_delta,tx_packets_delta,rx_packets_delta,tx_drops_delta,rx_drops_delta,tx_errors_delta,rx_errors_delta,ping_attempts,ping_success_rate,avg_ping_rtt_ms,p95_ping_rtt_ms
A1,oaitun_ue1,ue0,81,80.0002,1.74433,3.32367,3.32441,0,0,0,17443104,0,11760,0,0,0,0,0,0,,,
A1,oaitun_ue2,ue1,81,80.0002,1.74435,3.32366,3.32441,0,0,0,17443104,0,11760,0,0,0,0,0,0,,,
