time,rnti,frame,slot,snrx10,tpc,rssi
19:59:19.927581,28730,311,7,100,1,937
19:59:21.000324,28730,410,7,100,1,937
19:59:24.956068,28730,763,7,100,1,937
19:59:27.059362,28730,944,17,100,1,937
19:59:28.373392,749,41,17,100,1,937
19:59:28.581815,749,61,17,100,1,937
19:59:29.942564,28730,188,7,100,1,937
19:59:31.032737,749,289,7,100,1,937
19:59:31.632516,28730,345,17,110,1,937
19:59:31.890262,28730,365,17,100,1,937
