label,class_aware_mode,object_rows,current_supported_rows,current_supported_rate,class_aware_supported_rows,class_aware_supported_rate,support_gain_rows,support_loss_rows,current_support_mean,class_aware_support_mean,current_support_median,class_aware_support_median
person,person_radius,9074,1445,0.15924619792814634,1445,0.15924619792814634,0,0,0.33325986334582325,0.33325986334582325,0.0,0.0
vehicle,bbox,5852,2862,0.4890635680109364,2862,0.4890635680109364,1,1,6.9726589200273414,6.974196855775803,0.0,0.0
