action_id,profile_id,execution_mode,family,latent_width,quantizer,bit_width,q,q_e4,keep_count,drop_count,zstd_level,wire_layout,wire_version,checkpoint_sha256,routing_tag,decoder_identity,pre_zstd_analytical_bytes,zstd_median_bytes,zstd_p95_bytes,ratio_vs_dense_fp32_q0,ratio_vs_same_family_same_q_uint8,vehicle_precision,vehicle_recall,vehicle_f1,vehicle_xy_mae_m,canonical_person_precision,canonical_person_recall,canonical_person_f1,canonical_person_xy_mae_m,person_avo_precision,person_avo_recall,person_avo_f1,person_avo_xy_mae_m,person_avo_recall_0_30m,person_avo_recall_30_40m_diagnostic,vehicle_iou,person_box_mask_iou,foreground_miou,relative_preservation_passed,relative_preservation_count,absolute_service_ready,absolute_service_count,localization_requirements_passed,localization_requirement_count,localization_requirements_evaluated,segmentation_installable,segmentation_behavior,source_contract_tier,stress_or_emergency_anchor,transport_valid,agent_action_enabled,source_evidence_path,source_evidence_sha256,durable_setting_path,durable_setting_sha256
0,split_noae_uint8_q0000,SPLIT,noAE,,UINT8,8,0.0,0,21504,0,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,5507116,3568326.0,3618121.8,0.16204828852132638,1.0,0.9313931614473829,0.8685378185945722,0.8988680051260145,0.4785501282606964,0.7966160220994475,0.5958161157024794,0.6817375886524824,0.8399585364786806,0.7036020583190394,0.7128953771289538,0.7082182320441988,0.8132315924109598,,,0.898997205787936,0.5278192766550763,0.7134082412215061,True,12,False,7,False,7,7,True,install_current_segmentation,primary anchor,False,True,True,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/phase8b_uint8_validation.json,a2779f5fb0a585b1c317dc755b5ab577fa7c34963ab7945cb704e0d4146bb029,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/settings/q0000.json,85f08fe423494fa2d541c916f048e36c1f7155d852d4383ea75ca61d757b3070
1,split_noae_uint8_q3000,SPLIT,noAE,,UINT8,8,0.3,3000,15053,6451,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,3858348,2513732.0,2552431.0,0.11415604078811488,1.0,0.9342456608811749,0.8664740480858528,0.8990845334332672,0.48566113628207824,0.7412280701754386,0.6110537190082644,0.6698754246885618,0.8402348604245259,0.6393542491623515,0.7295794230100799,0.6814935064935065,0.8086416330506786,,,0.874907992611778,0.5012355800539585,0.6880717863328683,True,12,False,7,False,5,7,True,install_current_segmentation,primary anchor,False,True,True,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/phase8b_uint8_validation.json,a2779f5fb0a585b1c317dc755b5ab577fa7c34963ab7945cb704e0d4146bb029,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/settings/q3000.json,3f03062b838235e055bd2188f60834b7a062e5833233b04885373374421c5825
2,split_noae_uint8_q5000,SPLIT,noAE,,UINT8,8,0.5,5000,10752,10752,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,2757292,1787658.0,1812519.2,0.08118286259760384,1.0,0.9346003353828954,0.8626560726447219,0.8971882378192745,0.4989849508905711,0.7335597406606977,0.6136363636363636,0.6682604415693995,0.8374146262844592,0.6288105200239091,0.7313173444560306,0.6762011891370722,0.8050672960194704,,,0.8214453849330626,0.49028807503787364,0.6558667299854681,True,12,False,4,False,5,7,False,retain_previous_segmentation_layer_with_original_timestamp,primary anchor,False,True,True,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/phase8b_uint8_validation.json,a2779f5fb0a585b1c317dc755b5ab577fa7c34963ab7945cb704e0d4146bb029,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/settings/q5000.json,18de97768537be3690d8b091b0f53aabe4d381295dbcfdb6491cf0d1c4ece606
3,split_noae_uint8_q7000,SPLIT,noAE,,UINT8,8,0.7,7000,6451,15053,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,1656236,1063190.0,1078546.4,0.04828261764003317,1.0,0.917598848155942,0.854916933237024,0.8851495726495726,0.5338088468743897,0.7414448669201521,0.6043388429752066,0.665907797381901,0.8636079275993035,0.6303159173754557,0.7212374000695169,0.6727184308639974,0.8194615957287846,,,0.7035952399012005,0.4596647654360441,0.5816300026686223,True,12,False,4,False,5,7,False,retain_previous_segmentation_layer_with_original_timestamp,primary anchor,False,True,True,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/phase8b_uint8_validation.json,a2779f5fb0a585b1c317dc755b5ab577fa7c34963ab7945cb704e0d4146bb029,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/settings/q7000.json,3195fa059866e412df152455e90bc32500cfd435a3642ef1855919f14fd75463
4,split_noae_uint8_q9000,SPLIT,noAE,,UINT8,8,0.9,9000,2150,19354,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,555180,349312.0,355345.6,0.01586329605533843,1.0,0.8870987134784177,0.7613249406665978,0.8194135939582406,0.6685623246776862,0.6612057667103539,0.5211776859504132,0.582900057770075,0.8692187008800133,0.5624027388733271,0.6280848105665624,0.593431855500821,0.8350106262691865,,,0.4033976726835544,0.3665532104369034,0.3849754415602289,True,12,False,3,False,3,7,False,retain_previous_segmentation_layer_with_original_timestamp,emergency-mode anchor,True,True,True,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/phase8b_uint8_validation.json,a2779f5fb0a585b1c317dc755b5ab577fa7c34963ab7945cb704e0d4146bb029,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/settings/q9000.json,144031fece3bc3becabd270d0a7908a84625d822373a000991bd744e6a421277
5,split_noae_uint8_q9800,SPLIT,noAE,,UINT8,8,0.98,9800,430,21074,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,114860,71129.0,72249.0,0.0032301792813306364,1.0,0.8257995735607676,0.3996491590135177,0.5386273555385578,0.9430037220508795,0.6301806588735388,0.306301652892562,0.4122349669794926,0.9740201170574634,0.5472938796155792,0.37608620090371914,0.44581788215904405,0.9555823395938793,,,0.07921903568115685,0.17854106426136118,0.12888004997125901,True,12,False,3,False,3,7,False,retain_previous_segmentation_layer_with_original_timestamp,emergency-mode anchor,True,True,True,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/phase8b_uint8_validation.json,a2779f5fb0a585b1c317dc755b5ab577fa7c34963ab7945cb704e0d4146bb029,experiments/splitfusion_fcos_hybrid_q_v1/20260902_223610_phase8b_uint8_validation/settings/q9800.json,76806e3c95eaca6edc476c069b8323ee625df188864d38f3a5dcf07c2a67e0d6
6,split_noae_uint6_q0000,SPLIT,noAE,,UINT6,6,0.0,0,21504,0,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,4130868,2734349.0,2793619.4,0.12417491441925438,0.7662834057202172,0.9312596856320566,0.8681250644928284,0.8985847797062749,0.47786770119596883,0.7984094052558783,0.5963326446280992,0.6827321111768185,0.8427417703409643,0.7048730267673301,0.7139381299965242,0.7093766188913833,0.8156390817239395,0.8300561797752809,0.3792172739541161,0.8990013931039261,0.5277991932416186,0.7134002931727723,True,12,False,7,True,8,8,True,install_current_segmentation,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint6_q0000.json,6931efaa17c39b8a96ceda964abce6a36db9ec780221533c3002b3307e2cae8d
7,split_noae_uint6_q3000,SPLIT,noAE,,UINT6,6,0.3,3000,15053,6451,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,2894964,1955597.0,1981359.8,0.08880947169273219,0.7779655906039308,0.9340084576007123,0.8660612939841089,0.8987524763077582,0.485069829347577,0.7428661022264033,0.6118285123966942,0.6710097719869706,0.8442983214552167,0.6404631322364412,0.7306221758776503,0.6825783406397143,0.8121069092026213,0.8394194756554307,0.41700404858299595,0.8749078600351812,0.5011226873947935,0.6880152737149874,True,12,False,7,False,6,8,True,install_current_segmentation,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint6_q3000.json,cf8914efa4de2a889cce868f56900cf1a41a4fa3499802421738149ed6344471
8,split_noae_uint6_q5000,SPLIT,noAE,,UINT6,6,0.5,5000,10752,10752,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,2069172,1396533.0,1414936.0,0.0634207139464145,0.7812081505522869,0.9344500279173646,0.8634815808482097,0.8975651614287247,0.4999358610095649,0.7351485148514851,0.6136363636363636,0.6689189189189189,0.8401832564080812,0.6294522598024543,0.7309697601668405,0.6764232872306207,0.8077978962994198,0.8394194756554307,0.4183535762483131,0.8214967369562596,0.49022338157131434,0.655860059263787,True,12,False,4,False,6,8,False,retain_previous_segmentation_layer_with_original_timestamp,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint6_q5000.json,4e61e915e33c27563be5bc29b7c0c3ac3e448cfbdc8cfbdf27f0a0383d383fec
9,split_noae_uint6_q7000,SPLIT,noAE,,UINT6,6,0.7,7000,6451,15053,1,CURRENT_CELL_MAJOR,1,da14d21edbd374c1c3abce02ca4674b9f4097becfba9759aba945cea160a297f,0,NO_AE_ZERO_SCATTER_TO_C2,1243380,833976.0,846024.0,0.037873328689100066,0.784409183683067,0.9179038333702637,0.854916933237024,0.885291446278784,0.5341768452875015,0.7397086763774541,0.6033057851239669,0.6645803698435276,0.8618034693587783,0.6289098086850896,0.7198470629127564,0.6713128038897893,0.8160930031305463,0.826310861423221,0.41295546558704455,0.7038330229558449,0.459712159537804,0.5817725912468245,True,12,False,4,False,6,8,False,retain_previous_segmentation_layer_with_original_timestamp,FULL_PRESERVATION,False,True,True,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/phase11d_lowbit_validation.json,2680e6dc21469e6fdcabe1ce79e9d2d333d9a137c639cd033338b9b1c01c2862,experiments/splitfusion_fcos_ae_v1/20260903_phase11d_lowbit_validation/settings/noae_uint6_q7000.json,3891ab0e25d1ee4310063e3c204d6eaaae790043e4998eb6cbced183562c2ac0
