seq,request_bytes,source_ip,recv_wall_ns,recv_monotonic_ns
0,2048,192.168.70.134,1787450441417500059,1665086481044243
1,2048,192.168.70.134,1787450441509951168,1665086573495005
2,2048,192.168.70.134,1787450441607293474,1665086670837895
3,2048,192.168.70.134,1787450441718038486,1665086781582880
4,2048,192.168.70.134,1787450441818430076,1665086881974391
5,2048,192.168.70.134,1787450441914001450,1665086977545837
6,2048,192.168.70.134,1787450442019983618,1665087083527712
7,2048,192.168.70.134,1787450442155776969,1665087219321336
8,2048,192.168.70.134,1787450442216934302,1665087280478652
9,2048,192.168.70.134,1787450442319258455,1665087382802638
10,2048,192.168.70.134,1787450442407535630,1665087471079734
11,2048,192.168.70.134,1787450442516287521,1665087579831546
12,2048,192.168.70.134,1787450442606411867,1665087669956108
13,2048,192.168.70.134,1787450442715974352,1665087779518026
14,2048,192.168.70.134,1787450442805165988,1665087868709733
15,2048,192.168.70.134,1787450442915023994,1665087978568061
16,2048,192.168.70.134,1787450443019722563,1665088083266536
17,2048,192.168.70.134,1787450443119356054,1665088182900472
18,2048,192.168.70.134,1787450443215189105,1665088278733150
19,2048,192.168.70.134,1787450443314279380,1665088377823409
20,2048,192.168.70.134,1787450443405104564,1665088468648644
21,2048,192.168.70.134,1787450443517300114,1665088580844334
22,2048,192.168.70.134,1787450443609089370,1665088672633058
23,2048,192.168.70.134,1787450443716851867,1665088780395936
24,2048,192.168.70.134,1787450443816734158,1665088880278351
25,2048,192.168.70.134,1787450443917917489,1665088981461105
26,2048,192.168.70.134,1787450444006869804,1665089070413862
27,2048,192.168.70.134,1787450444174577249,1665089238121303
28,2048,192.168.70.134,1787450444216129280,1665089279673007
29,2048,192.168.70.134,1787450444316340284,1665089379884356
30,2048,192.168.70.134,1787450444406310829,1665089469854733
31,2048,192.168.70.134,1787450444516328040,1665089579871700
32,2048,192.168.70.134,1787450444606181257,1665089669725014
33,2048,192.168.70.134,1787450444716863696,1665089780407304
34,2048,192.168.70.134,1787450444808489738,1665089872033799
35,2048,192.168.70.134,1787450444920515325,1665089984059076
36,2048,192.168.70.134,1787450445018135097,1665090081679157
37,2048,192.168.70.134,1787450445107712612,1665090171256491
38,2048,192.168.70.134,1787450445263223858,1665090326767789
39,2048,192.168.70.134,1787450445318035551,1665090381579296
40,2048,192.168.70.134,1787450445406729863,1665090470274060
41,2048,192.168.70.134,1787450445516074502,1665090579618113
42,2048,192.168.70.134,1787450445606915864,1665090670459409
43,2048,192.168.70.134,1787450445716630123,1665090780173668
44,2048,192.168.70.134,1787450445806651998,1665090870195889
45,2048,192.168.70.134,1787450445915430222,1665090978974183
46,2048,192.168.70.134,1787450446015949830,1665091079493275
47,2048,192.168.70.134,1787450446106361540,1665091169905637
48,2048,192.168.70.134,1787450446217144419,1665091280688351
49,2048,192.168.70.134,1787450446308692418,1665091372235702
50,2048,192.168.70.134,1787450446415568257,1665091479111850
51,2048,192.168.70.134,1787450446519007635,1665091582551297
52,2048,192.168.70.134,1787450446619043750,1665091682587838
53,2048,192.168.70.134,1787450446720491090,1665091784035163
54,2048,192.168.70.134,1787450446820380414,1665091883924629
55,2048,192.168.70.134,1787450446921494177,1665091984999881
56,2048,192.168.70.134,1787450447021487876,1665092085032129
57,2048,192.168.70.134,1787450447118390144,1665092181934547
58,2048,192.168.70.134,1787450447223870523,1665092287414836
59,2048,192.168.70.134,1787450447321185887,1665092384730101
60,2048,192.168.70.134,1787450447418703516,1665092482247860
61,2048,192.168.70.134,1787450447519685353,1665092583229721
62,2048,192.168.70.134,1787450447619534520,1665092683078921
63,2048,192.168.70.134,1787450447719716381,1665092783260809
64,2048,192.168.70.134,1787450447819372530,1665092882916699
65,2048,192.168.70.134,1787450447919833745,1665092983377904
66,2048,192.168.70.134,1787450448020917488,1665093084461381
67,2048,192.168.70.134,1787450448119607655,1665093183151808
68,2048,192.168.70.134,1787450448295696977,1665093359241313
69,2048,192.168.70.134,1787450448321674891,1665093385218410
70,2048,192.168.70.134,1787450448423089966,1665093486633911
71,2048,192.168.70.134,1787450448519485849,1665093583029763
72,2048,192.168.70.134,1787450448622673711,1665093686218078
73,2048,192.168.70.134,1787450448717992464,1665093781536598
74,2048,192.168.70.134,1787450448816006941,1665093879551207
75,2048,192.168.70.134,1787450448919016474,1665093982560951
76,2048,192.168.70.134,1787450449018937707,1665094082481926
77,2048,192.168.70.134,1787450449131970328,1665094195514880
78,2048,192.168.70.134,1787450449216827843,1665094280372119
79,2048,192.168.70.134,1787450449310542156,1665094374086540
