seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
30,1665089460776364,1787450444397231771,1,1,1665089473191310,1,12.4149
31,1665089560776099,1787450444497231784,1,1,1665089582017241,1,21.2411
32,1665089660819985,1787450444597275494,1,1,1665089671582378,1,10.7624
33,1665089760775629,1787450444697231192,1,1,1665089783166512,1,22.3909
34,1665089860783527,1787450444797239533,1,1,1665089873798471,1,13.0149
35,1665089960786922,1787450444897242502,1,1,1665089985709913,1,24.9230
36,1665090060776065,1787450444997231725,1,1,1665090083547817,1,22.7718
37,1665090160776081,1787450445097231733,1,1,1665090173444891,1,12.6688
38,1665090260778133,1787450445197233719,1,1,1665090330465898,1,69.6878
39,1665090360784433,1787450445297240116,1,1,1665090384912092,1,24.1277
40,1665090460800511,1787450445397256274,1,1,1665090473694444,1,12.8939
41,1665090560787724,1787450445497243312,1,1,1665090582288702,1,21.5010
42,1665090660778933,1787450445597234398,1,1,1665090673197852,1,12.4189
43,1665090761016443,1787450445697471819,1,1,1665090782957625,1,21.9412
44,1665090860777790,1787450445797233164,1,1,1665090873050791,1,12.2730
45,1665090960785502,1787450445897241074,1,1,1665090982994239,1,22.2087
46,1665091060785501,1787450445997241749,1,1,1665091084015842,1,23.2303
47,1665091160775782,1787450446097231292,1,1,1665091173014688,1,12.2389
48,1665091260779327,1787450446197237993,1,1,1665091283230498,1,22.4512
49,1665091360780844,1787450446297236453,1,1,1665091375140129,1,14.3593
50,1665091460779057,1787450446397234598,1,1,1665091482174630,1,21.3956
51,1665091560786106,1787450446497242075,1,1,1665091584386059,1,23.6000
52,1665091660785888,1787450446597241942,1,1,1665091684719197,1,23.9333
53,1665091760793624,1787450446697249557,1,1,1665091786196814,1,25.4032
54,1665091860792512,1787450446797248216,1,1,1665091885734380,1,24.9419
55,1665091960791988,1787450446897247576,1,1,1665091986950317,1,26.1583
56,1665092060779952,1787450446997235570,1,1,1665092086988981,1,26.2090
57,1665092160776385,1787450447097232166,1,1,1665092183657738,1,22.8814
58,1665092260785564,1787450447197241733,1,1,1665092289109414,1,28.3239
59,1665092360780157,1787450447297235822,1,1,1665092387079346,1,26.2992
60,1665092460783980,1787450447397240019,1,1,1665092483921003,1,23.1370
61,1665092560775574,1787450447497231657,1,1,1665092585422643,1,24.6471
62,1665092660775624,1787450447597231385,1,1,1665092686706042,1,25.9304
